Sentence,NER,generated_ner
looking for a high end italian restaurant within a 5 miles,"{""Price"": [""high""], ""Rating"": [""end""], ""Cuisine"": [""italian""], ""Location"": [""within"", ""5 miles""]}","{ ""location"": [""italian""]}"
looking for a kfc,"{""Restaurant_Name"": [""kfc""]}",{}
looking for a kid friendly restaurant in mid price range,"{""Amenity"": [""kid friendly""], ""Price"": [""mid""]}",{}
looking for a restaurant with the highest approval ratings,"{""Rating"": [""highest approval ratings""]}",{}
looking for a strong fair priced restaurant that is near,"{""Price"": [""fair""], ""Location"": [""near""]}",{}
looking for a tai restaurant that is nerby that takes online reservations,"{""Cuisine"": [""tai""], ""Location"": [""nerby""], ""Amenity"": [""online reservations""]}","{ ""location"": [""nerby""]}"
looking for a three star restaurant along my current route within the next hundred miles and not more then a mile off route any suggestions,"{""Rating"": [""three star""], ""Location"": [""along my current route within the next hundred miles"", ""not more then a mile off route""]}",{}
looking for an expensive seafood place make a reservation for 6 people at 6 00,"{""Price"": [""expensive""], ""Cuisine"": [""seafood""]}",{}
looking for anything open before 7 a m nearby offering hip music,"{""Hours"": [""open before 7 a m""], ""Location"": [""nearby""], ""Amenity"": [""hip music""]}",{}
looking for breakfast restaurants with byob,"{""Cuisine"": [""breakfast""], ""Amenity"": [""byob""]}",{}
looking for californian cuisine with great prices,"{""Cuisine"": [""californian""], ""Price"": [""great""]}","{ ""location"": [""californian""]}"
looking for crowd pleasing fatz along the way,"{""Restaurant_Name"": [""crowd pleasing fatz""], ""Location"": [""along the way""]}",{}
looking for d k bakery near here where the stars hang out,"{""Restaurant_Name"": [""d k bakery""], ""Location"": [""near""], ""Amenity"": [""stars hang out""]}",{}
looking for duck dish with great pricing and good rating,"{""Dish"": [""duck dish""], ""Price"": [""great""], ""Rating"": [""good rating""]}",{}
looking for freebirds world burrito that is open late,"{""Restaurant_Name"": [""freebirds world burrito""], ""Hours"": [""open late""]}","{ ""location"": [""freebirds world""]}"
looking for hotel dining on central square with great pricing,"{""Cuisine"": [""hotel dining""], ""Location"": [""central square""], ""Price"": [""great""]}",{}
looking for local pizzahut,"{""Location"": [""local""], ""Restaurant_Name"": [""pizzahut""]}",{}
looking for olympic house of pizza for lunch any close by,"{""Restaurant_Name"": [""olympic house of pizza""], ""Hours"": [""lunch""], ""Location"": [""close by""]}","{ ""location"": [""olympic""]}"
looking for reasonably priced diners,"{""Price"": [""reasonably""], ""Cuisine"": [""diners""]}",{}
looking for sebastians restaurant offering generous portions,"{""Restaurant_Name"": [""sebastians restaurant""], ""Amenity"": [""generous portions""]}","{ ""location"": [""sebastians""]}"
looking for star hangout close by called marios italian restaurant,"{""Amenity"": [""star hangout""], ""Location"": [""close by""], ""Restaurant_Name"": [""marios italian restaurant""]}","{ ""location"": [""marios""]}"
looking for sushi with prix fixe menu at a reasonable price,"{""Dish"": [""sushi""], ""Amenity"": [""prix fixe menu""], ""Price"": [""reasonable""]}",{}
looking for tapas cuisine with great prices,"{""Cuisine"": [""tapas""], ""Price"": [""great""]}",{}
looking for the cheapest place to eat im on a budget,"{""Price"": [""cheapest""]}",{}
looking for tom yum cafe around here with excellent prices,"{""Restaurant_Name"": [""tom yum cafe""], ""Location"": [""around here""], ""Price"": [""excellent""]}","{ ""location"": [""tom yum""]}"
looking for tuna dishes that offer parking,"{""Dish"": [""tuna dishes""], ""Amenity"": [""offer parking""]}",{}
looking for urban gourmet on bay road with great wine lists,"{""Cuisine"": [""urban gourmet""], ""Location"": [""bay road""], ""Rating"": [""great""]}",{}
looking for very cheap sake restaurant that allows smoking,"{""Price"": [""very cheap""], ""Cuisine"": [""sake""], ""Amenity"": [""allows smoking""]}",{}
make a 5 00 p m reservation for black angus,"{""Restaurant_Name"": [""black angus""]}","{ ""location"": [""angus""]}"
make a reservation for 3 people at 8 pm tonight at the melting pot in towson,"{""Amenity"": [""reservation for 3 people""], ""Hours"": [""8 pm tonight""], ""Restaurant_Name"": [""melting pot""], ""Location"": [""towson""]}","{ ""location"": [""towson""]}"
make a reservation for six pm at a french restaurant with at least a 4 star rating,"{""Amenity"": [""reservation""], ""Hours"": [""six pm""], ""Cuisine"": [""french""], ""Rating"": [""4 star rating""]}","{ ""location"": [""french""]}"
make a reservation for us at the french restaurant for tonight at 8 pm also give us the dress code for the restaurant,"{""Cuisine"": [""french""], ""Amenity"": [""dress code""]}","{ ""location"": [""french""]}"
make a reservation tonight for four at billies steakhouse,"{""Amenity"": [""reservation"", ""for four""], ""Hours"": [""tonight""], ""Restaurant_Name"": [""billies steakhouse""]}","{ ""location"": [""billies steakhouse""]}"
make me a reservation for a restaurant with a nonsmoking patio and that isnt fancy for 30 minutes from now,"{""Amenity"": [""reservation"", ""nonsmoking patio"", ""isnt fancy""], ""Hours"": [""30 minutes from now""]}",{}
make me reservations for three people at devitos italian,"{""Restaurant_Name"": [""devitos italian""]}","{ ""location"": [""devitos italian""]}"
may i have the business hours for the nearest red lobster,"{""Hours"": [""business""], ""Location"": [""nearest""], ""Restaurant_Name"": [""red lobster""]}","{ ""location"": [""red lobster""]}"
mexican food,"{""Cuisine"": [""mexican""]}","{ ""location"": [""mexican""]}"
mexican food to go,"{""Cuisine"": [""mexican""], ""Amenity"": [""to go""]}","{ ""location"": [""mexican""]}"
mexican restaurant nearby,"{""Cuisine"": [""mexican""], ""Location"": [""nearby""]}","{ ""location"": [""mexican""]}"
moderately priced seafood restaurant,"{""Price"": [""moderately""], ""Cuisine"": [""seafood""]}",{}
my date and i would like some espresso thats within 10 min,"{""Dish"": [""espresso""], ""Location"": [""within 10 min""]}",{}
my kids need lunch can you help,"{""Amenity"": [""kids"", ""lunch""]}",{}
my kids want a happy meal,"{""Cuisine"": [""happy""]}",{}
my kids want to sit outside and eat cheeseburgers,"{""Amenity"": [""sit outside""], ""Dish"": [""cheeseburgers""]}",{}
my nephew loves burgers where is the nearest five guys,"{""Dish"": [""burgers""], ""Location"": [""nearest""], ""Restaurant_Name"": [""five guys""]}",{}
name the local buffets,"{""Location"": [""local buffets""]}",{}
navigate me to a thai restaurant thats 4 stars or higher,"{""Cuisine"": [""thai""], ""Rating"": [""4 stars or higher""]}","{ ""location"": [""thai""]}"
nearest fast food restaurant,"{""Location"": [""nearest""], ""Cuisine"": [""fast food""]}",{}
need a four star restaurant in a hotel,"{""Rating"": [""four star""], ""Location"": [""in a hotel""]}",{}
need a reservation for six pm at the steak shack in detroit for four people and possibly a baby for tonight,"{""Hours"": [""six pm"", ""tonight""], ""Restaurant_Name"": [""the steak shack""], ""Location"": [""detroit""]}","{ ""location"": [""detroit""]}"
newbury street bakery and deli directions,"{""Restaurant_Name"": [""newbury street bakery and deli""]}","{ ""location"": [""newbury street""]}"
nyc 5 star pizza parlors,"{""Location"": [""nyc""], ""Rating"": [""5 star""], ""Dish"": [""pizza""], ""Restaurant_Name"": [""parlors""]}",{}
of the restaurants that require suit jackets for men which have the best service and food,"{""Amenity"": [""require suit jackets for men""], ""Rating"": [""best service and food""]}",{}
please find a high end restaurant that i can take my clients to,"{""Rating"": [""high end""], ""Amenity"": [""clients""]}",{}
please find a japanese place that near an indian restaurant,"{""Cuisine"": [""japanese"", ""indian""], ""Location"": [""near""]}","{ ""location"": [""japanese"", ""indian""]}"
please find a mexican restaurant with a smoking section and more then 1 star review,"{""Cuisine"": [""mexican""], ""Amenity"": [""smoking section""], ""Rating"": [""more then 1 star review""]}","{ ""location"": [""mexican""]}"
please find a restaurant where i can order cocktails with lunch,"{""Amenity"": [""cocktails"", ""lunch""]}",{}
please find a taco place near my house,"{""Cuisine"": [""taco""], ""Location"": [""near my house""]}",{}
please find italian restaurants that are child friendly,"{""Cuisine"": [""italian""], ""Amenity"": [""child friendly""]}","{ ""location"": [""italian""]}"
please find me a cheap chinese restaurant nearby,"{""Price"": [""cheap""], ""Cuisine"": [""chinese""], ""Location"": [""nearby""]}","{ ""location"": [""chinese""]}"
please find me a child friendly diner with a tv,"{""Amenity"": [""child friendly"", ""tv""], ""Cuisine"": [""diner""]}",{}
please find me a non smoking restaurant that serves seafood i also want on site parking,"{""Amenity"": [""non smoking"", ""on site parking""], ""Cuisine"": [""seafood""]}",{}
please find me the nearest thai place,"{""Location"": [""nearest""], ""Cuisine"": [""thai""]}",{}
please find the address of international house of pancakes,"{""Restaurant_Name"": [""international house of pancakes""]}",{}
please find the closest midpriced sit down restaurant with chicken tenders or macaroni on the kids meal,"{""Location"": [""closest""], ""Price"": [""midpriced""], ""Amenity"": [""sit down"", ""kids meal""], ""Dish"": [""chicken tenders"", ""macaroni""]}","{ ""product"": [""chicken tenders"", ""macaroni""]}"
please get me the street address of the dennys in this area,"{""Location"": [""street address"", ""area""], ""Restaurant_Name"": [""dennys""]}","{ ""location"": [""Dennys""]}"
please give me directions to the nearest made to order place where i can get a cheeseburger,"{""Location"": [""nearest""], ""Dish"": [""made to order"", ""cheeseburger""]}",{}
please give me the hours of operation for the burger king nearest me,"{""Restaurant_Name"": [""burger king""], ""Location"": [""nearest me""]}",{}
please help me locate a restaurant that allows smoking,"{""Amenity"": [""allows smoking""]}",{}
please list restaurants that serve alcohol within 5 miles,"{""Dish"": [""alcohol""], ""Location"": [""within 5 miles""]}",{}
please locate a bar off of main street down town that has valet parking is open late and has good reviews,"{""Cuisine"": [""bar""], ""Location"": [""off of main street down town""], ""Amenity"": [""valet parking""], ""Hours"": [""open late""], ""Rating"": [""good reviews""]}",{}
please locate a mcdonalds,"{""Restaurant_Name"": [""mcdonalds""]}","{ ""location"": [""mcdonalds""]}"
please make me a reservation for tonight at jax cafe at 7 pm for six,"{""Amenity"": [""reservation""], ""Restaurant_Name"": [""jax cafe""], ""Hours"": [""7 pm""]}","{ ""location"": [""jax cafe""]}"
please name all restaurants that offer curb side pick up on highway 43 south,"{""Amenity"": [""curb side pick up""], ""Location"": [""highway 43 south""]}",{}
please navigate to the closest coffee shop with free trade coffee,"{""Location"": [""closest""], ""Cuisine"": [""coffee""], ""Dish"": [""free trade coffee""]}",{}
please show me some reviews about the sushi place,"{""Cuisine"": [""sushi""], ""Location"": [""place""]}",{}
please take me to a highly rated family diner,"{""Rating"": [""highly rated""], ""Cuisine"": [""family diner""]}",{}
pub,"{""Cuisine"": [""pub""]}",{}
quick i need a hot dog,"{""Dish"": [""hot dog""]}",{}
reasonably priced byob irish restaurant,"{""Price"": [""reasonably""], ""Amenity"": [""byob""], ""Cuisine"": [""irish""]}","{ ""location"": [""irish""]}"
red lobster with no smoking,"{""Restaurant_Name"": [""red lobster""], ""Amenity"": [""no smoking""]}","{ ""product"": [""red lobster""]}"
red robins restaurant,"{""Restaurant_Name"": [""red robins""]}","{ ""location"": [""red robins""]}"
restaurant that caters to children and that is fun for parents and kids alike,"{""Amenity"": [""caters to children"", ""fun for parents and kids alike""]}",{}
restaurants in the area,"{""Location"": [""in the area""]}",{}
restaurants that take visa or master card,{},{}
restuarnt that cathay owns,"{""Amenity"": [""cathay""]}",{}
search for a buffet that is a smoke free environment within 5 miles of my location,"{""Cuisine"": [""buffet""], ""Amenity"": [""smoke free environment""], ""Location"": [""within 5 miles of my location""]}",{}
search for a place that serves meatloaf,"{""Dish"": [""meatloaf""]}",{}
search for dine in restaurant,"{""Amenity"": [""dine in""]}",{}
search for fast food places that also have a kid play area,"{""Cuisine"": [""fast food""], ""Amenity"": [""kid play area""]}",{}
search for restaurants with seafood,"{""Cuisine"": [""seafood""]}",{}
show me a inexpensive restaurant within 10 miles,"{""Price"": [""inexpensive""], ""Location"": [""within 10 miles""]}",{}
show me all of the local restaurants with a smoking area,"{""Location"": [""local""], ""Amenity"": [""smoking area""]}",{}
show me all the restaurants that are not franchises in my area,"{""Amenity"": [""not franchises""], ""Location"": [""in my area""]}",{}
show me restaurants that serve senior portions,"{""Amenity"": [""senior portions""]}",{}
show me some cheap eats,"{""Price"": [""cheap""]}",{}
show me some mexican restaurants that arent too far,"{""Cuisine"": [""mexican""], ""Location"": [""arent too far""]}","{ ""location"": [""mexican""]}"
show me some restaurants nearby that have 3 star or higher rating,"{""Location"": [""nearby""], ""Rating"": [""3 star or higher rating""]}",{}
show me the moderately priced japanese restaurants in a ten mile radius,"{""Price"": [""moderately""], ""Cuisine"": [""japanese""], ""Location"": [""ten mile radius""]}","{ ""location"": [""japanese""]}"
